wavelength,zt532rdc,zt594rdc,zt633rdc,zt491rdc,zt458rdc,zt514rdc,zt561rdc,,,,,
380,0.00396805,0.179184005,0.364616007,1.00E-08,1.00E-08,0.114711002,0.0294536,,,,,
381,0.022756301,0.162677005,0.329457998,0.000702695,1.00E-08,0.116653003,0.034676202,,,,,
382,0.047037099,0.141185999,0.283659011,0.00144151,1.00E-08,0.120690003,0.042248599,,,,,
383,0.046510801,0.175904006,0.335354,0.00323611,1.00E-08,0.0513415,0.018509099,,,,,
384,0.058044501,2.48E-01,0.409685999,0.00150115,1.00E-08,0.016449099,0.0011684,,,,,
385,0.086533301,0.265370011,0.437081993,0.000313501,1.00E-08,0.023050301,3.09E-06,,,,,
386,0.074971899,0.287214994,0.424472004,0.000115007,1.00E-08,0.0622705,7.34E-05,,,,,
387,0.053012099,0.382786006,0.366564006,0.000103308,1.00E-08,0.0807845,9.50E-07,,,,,
388,0.116994001,0.434246004,0.304830998,0.000135231,1.00E-08,0.0386682,6.54E-05,,,,,
389,0.172289997,0.412966013,0.327886999,0.000393397,1.00E-08,0.0130272,0.000120672,,,,,
390,0.114053003,0.408701003,0.368149996,0.000856613,1.00E-08,0.0136869,0.000122518,,,,,
391,0.052222699,0.414168,0.301869988,0.000683213,1.00E-08,0.017493,0.000220654,,,,,
392,0.064915501,0.355316997,0.189346999,0.000236079,1.00E-08,0.0142491,0.000104338,,,,,
393,0.128726006,0.253412992,0.168714002,7.18E-05,1.00E-08,0.00720354,9.50E-07,,,,,
394,0.135361001,0.164842993,0.223215997,7.53E-05,1.00E-08,0.00270228,1.66E-05,,,,,
395,0.058398601,0.153520003,0.243147001,0.000113365,1.00E-08,0.00212887,0.000339414,,,,,
396,0.023205699,0.160965994,0.180015996,0.000162131,1.89E-05,0.00317,0.000280453,,,,,
397,0.0381261,0.095790498,0.134256005,0.000284735,1.00E-08,0.00457428,0.00398358,,,,,
398,0.104719996,0.034158401,0.173059002,0.00019945,1.37E-05,0.00422374,0.025285,,,,,
399,0.126295,0.044097099,0.262825012,5.53E-05,1.00E-08,0.00262138,0.065211199,,,,,
400,0.065467902,0.035904199,0.302394003,2.46E-05,1.00E-08,0.000920067,0.073205598,,,,,
401,0.020785701,0.00814348,0.288109004,5.64E-06,1.00E-08,0.000297561,0.073443398,,,,,
402,0.0193235,0.000501254,0.328045011,1.00E-08,3.54E-05,0.000865566,0.107409999,,,,,
