wavelength,zt561rdc,zt633rdc,zt670rdc-xxrxt,zt514rdc,zt491rdc,zt532rdc,zt594rdc
380,0.0294536,0.364616007,,0.114711002,1.00E-08,0.00396805,0.179184005
381,0.034676202,0.329457998,,0.116653003,0.000702695,0.022756301,0.162677005
382,0.042248599,0.283659011,,0.120690003,0.00144151,0.047037099,0.141185999
383,0.018509099,0.335354,,0.0513415,0.00323611,0.046510801,0.175904006
384,0.0011684,0.409685999,,0.016449099,0.00150115,0.058044501,2.48E-01
385,3.09E-06,0.437081993,,0.023050301,0.000313501,0.086533301,0.265370011
386,7.34E-05,0.424472004,,0.0622705,0.000115007,0.074971899,0.287214994
387,9.50E-07,0.366564006,,0.0807845,0.000103308,0.053012099,0.382786006
388,6.54E-05,0.304830998,,0.0386682,0.000135231,0.116994001,0.434246004
389,0.000120672,0.327886999,,0.0130272,0.000393397,0.172289997,0.412966013
390,0.000122518,0.368149996,,0.0136869,0.000856613,0.114053003,0.408701003
391,0.000220654,0.301869988,,0.017493,0.000683213,0.052222699,0.414168
392,0.000104338,0.189346999,,0.0142491,0.000236079,0.064915501,0.355316997
393,9.50E-07,0.168714002,,0.00720354,7.18E-05,0.128726006,0.253412992
394,1.66E-05,0.223215997,,0.00270228,7.53E-05,0.135361001,0.164842993
395,0.000339414,0.243147001,,0.00212887,0.000113365,0.058398601,0.153520003
396,0.000280453,0.180015996,,0.00317,0.000162131,0.023205699,0.160965994
397,0.00398358,0.134256005,,0.00457428,0.000284735,0.0381261,0.095790498
398,0.025285,0.173059002,,0.00422374,0.00019945,0.104719996,0.034158401
399,0.065211199,0.262825012,,0.00262138,5.53E-05,0.126295,0.044097099
400,0.073205598,0.302394003,0.00414756,0.000920067,2.46E-05,0.065467902,0.035904199
401,0.073443398,0.288109004,0.0045087,0.000297561,5.64E-06,0.020785701,0.00814348
402,0.107409999,0.328045011,0.00558938,0.000865566,1.00E-08,0.0193235,0.000501254
403,0.117656,0.435068011,0.00798489,0.0011508,1.00E-08,0.027607201,1.00E-08
404,0.084517099,0.507198989,0.00902552,0.00145694,1.18E-05,0.0250338,1.00E-08
405,0.075225398,0.492132992,0.00589053,0.00211672,0.000224389,0.0125257,0.000306092
406,0.139494002,0.442510992,0.00283611,0.00189362,0.000280961,0.00490313,1.00E-08
407,0.195507005,0.464774013,0.00149389,0.000506944,0.000192714,0.00301702,0.000204199
408,0.138001993,0.525403023,0.000599598,0.000700767,7.42E-05,0.00307663,1.00E-08
409,0.061326001,0.485956013,0.00104509,0.000318966,8.65E-07,0.00489201,5.95E-05
410,0.041386001,0.388195008,0.00133341,0.000567957,1.00E-08,0.0068896,1.00E-08
411,0.067657001,0.288617015,0.00398054,0.000547029,1.73E-05,0.00585424,1.00E-08
412,0.142527997,0.191012993,0.010834,0.000754411,0.0001974,0.00349914,1.00E-08
413,0.169036999,0.149578005,0.01667,0.000759332,0.000393398,0.00175208,1.00E-08
414,0.0971983,0.167730004,0.0157107,0.000655185,0.000390026,0.00094107,1.00E-08
415,0.040830798,0.208064005,0.0185699,0.000108961,0.00023983,0.00141301,1.00E-08
416,0.038899399,0.177576005,0.021925399,0.000359851,8.62E-05,0.00114542,0.000702171
417,0.088692203,0.084710397,0.0186281,0.000422683,4.52E-06,0.00140384,0.00366558
418,0.172052994,0.0360795,0.049279898,0.000392957,1.50E-05,0.00239993,0.022722101
419,0.159961,0.0307501,0.109177001,0.000220343,0.000101852,0.00233786,0.100589
420,0.076698199,0.0577222,0.091850601,0.00041616,0.000247725,0.00179321,0.172536999
421,0.030752899,0.077293903,0.0316188,0.000502241,0.000461957,0.00127259,0.139209002
422,0.031151701,0.039301999,0.00774035,0.000793809,0.00062962,0.000776249,0.051837102
423,0.042877,0.00442825,0.00642134,0.00066188,0.000542967,0.000421043,0.0168609
424,0.041379102,0.000561856,0.00957867,0.000490991,0.000385342,0.000705742,0.0145216
425,0.0236696,0.000562375,0.0167473,0.000306037,0.00024318,0.000690761,0.042742599
426,0.00902913,0.00039763,0.016854201,0.000213241,0.000251668,0.001274,0.107795
427,0.00434772,0.000225637,0.0091731,0.000270858,0.00023274,0.000730859,0.129130006
428,0.00323923,0.000151342,0.00321722,0.000509404,0.000276649,0.000581977,0.072391197
429,0.00436833,0.000299897,0.00177863,0.000637814,0.000353137,0.000750653,0.033886701
430,0.00685537,0.000607721,0.00109953,0.00042938,0.000680033,0.000387284,0.059560999
431,0.00939111,0.000603519,0.000909755,0.000762893,0.00104119,0.000456025,0.133738995
432,0.00751294,0.000360923,0.00185977,0.000616912,0.00146094,0.000582282,0.189662993
433,0.00330394,0.00060504,0.0038094,0.000329096,0.00140088,0.000223831,0.140588999
434,0.00151065,0.000490662,0.00991012,0.000233675,0.00105776,0.000563444,0.079167098
435,0.000803388,0.000362022,0.0144303,0.000507469,0.000753866,0.000862663,0.078610197
436,0.00069049,0.000493771,0.0103252,0.000463709,0.000713248,0.000789832,0.128058001
437,0.00112107,0.000389543,0.00550523,0.000470627,0.000650738,0.000994078,0.197916001
438,0.00106436,0.000452251,0.0043551,0.000707561,0.000831446,0.000727221,0.211706996
439,0.00212004,0.000904771,0.00587144,0.000820289,0.00124454,0.000497116,0.177728996
440,0.00269534,0.00257478,0.0155004,0.000711229,0.002261,0.000782825,0.211521
441,0.0020065,0.0134596,0.027024001,0.000805618,0.00441247,0.000826192,0.306398004
442,0.000906861,0.056175198,0.016272901,0.000681715,0.00834384,0.000545629,0.287072986
443,0.00049093,0.116308004,0.00249385,0.000505698,0.00925851,0.000596825,0.187980995
444,0.000509025,0.137695,0.000437833,0.00050981,0.00627039,0.000726943,0.139740005
445,0.000357755,0.145593002,7.38955E-05,0.000458158,0.00386569,0.000861798,0.171569005
446,0.00050498,0.155255005,0.000116269,0.000480484,0.00270459,0.000679106,0.172958001
447,0.000784683,0.134776995,0.00012376,0.000949909,0.00231002,0.000811819,0.102706999
448,0.00114593,0.155373007,5.32066E-06,0.000975151,0.00217585,0.000562835,0.038028799
449,0.00107247,0.235494003,3.56444E-05,0.00134432,0.00235911,0.000537742,0.0209755
450,0.000847019,0.273106009,4.23E-04,0.00177248,0.00285486,0.000374898,0.0214651
451,0.000245423,0.269484997,0.000428625,0.00173713,0.00396813,0.000608115,0.0301075
452,0.000314212,0.210676998,0.000216257,0.0016055,0.00603588,0.00058526,0.033155199
453,0.000307853,0.110647,0.0037135,0.00136594,0.0096412,0.000695008,0.0245069
454,0.000282435,0.065361097,0.0200979,0.00108145,0.0144385,0.000804989,0.0118358
455,0.000202566,0.054490998,0.024737399,0.0012958,0.0173818,0.00104314,0.00624402
456,0.000327712,0.0391469,0.00802607,0.00105045,0.016159501,0.00109383,0.00534912
457,0.000554593,0.060794201,0.000309382,0.0015934,0.0129862,0.00116134,0.00696028
458,0.000697622,0.161151007,8.79693E-05,0.00231497,0.0102862,0.000589825,0.00895543
459,0.000407856,0.230504006,2.22361E-05,0.0038811,0.00878195,0.000792774,0.00853801
460,0.000577205,0.166391,7.1513E-08,0.006991,0.00834265,0.000694791,0.00524611
461,0.000467889,0.084499203,2.11376E-05,0.0100203,0.00869342,0.000660619,0.00285288
462,0.000341241,0.0758387,4.24521E-07,0.0101864,0.0100004,0.000649666,0.00185609
463,0.000219721,0.130926996,4.89606E-05,0.00789606,0.0127395,0.00110697,0.00176071
464,0.00033966,0.245105997,4.80238E-05,0.00532261,0.0168532,0.00139239,0.00220606
465,0.000448143,0.283964992,1E-10,0.00397047,0.02022,0.00172079,0.00285527
466,0.000534864,0.193367004,7.84174E-05,0.00323085,0.019063801,0.00218335,0.00307158
467,0.000718494,0.108631,5.97835E-06,0.00311263,0.0139533,0.00222956,0.00265361
468,0.00065379,0.103083,1E-10,0.00326403,0.00937962,0.00161642,0.00168344
469,0.000675412,0.148044005,0.000124522,0.00367703,0.0060938,0.0013579,0.00102056
470,0.000564882,0.173218995,1.94575E-05,0.00466518,0.00424219,0.00127024,0.000747443
471,0.000395058,0.118707001,1E-10,0.00645583,0.00312455,0.00123501,0.00092219
472,0.000312984,0.048950799,9.19743E-05,0.00933408,0.00246494,0.00129299,0.00109649
473,0.000245468,0.0217226,0.000346277,0.0139459,0.002104,0.00138527,0.00134678
474,0.000250493,0.0153355,0.00129844,0.0186399,0.0019188,0.001922,0.00135722
475,0.000231818,0.017268799,0.00211985,0.02101,0.00185619,0.00281073,0.00122695
476,0.000480168,0.025978601,0.00427955,0.0196534,0.00185175,0.00485398,0.00101585
477,0.000603573,0.033622701,0.0153142,0.0162785,0.00189679,0.0084487,0.000767071
478,0.000808492,0.0289113,0.029917501,0.0128307,0.00201219,0.0113686,0.000423329
479,0.00093388,0.0144346,0.027041901,0.0106523,0.00217295,0.0113528,0.000570569
480,0.000860881,0.0056984,0.0136553,0.00951942,0.00246105,0.00843332,0.000726011
481,0.00080808,0.00311615,0.00792415,0.00953842,0.00289705,0.00562796,0.000802097
482,0.000514486,0.00221855,0.00695826,0.0107039,0.00337837,0.00414135,0.000917288
483,0.000368919,0.00207222,0.00812967,0.012976,0.00392394,0.00355892,0.000957445
484,0.000424282,0.00246087,0.0112459,0.0167876,0.00459618,0.00314872,0.000772407
485,0.000434577,0.00366464,0.0145561,0.021782501,0.00524812,0.00328851,0.000543832
486,0.000459583,0.00615208,0.0150684,0.024681199,0.0062006,0.00365087,0.000578893
487,0.000659685,0.00802667,0.0120281,0.0225066,0.00745861,0.00448515,0.000515069
488,0.000850604,0.00697629,0.00840004,0.0166946,0.00892099,0.00577052,0.000551965
489,0.00119598,0.00419132,0.00590948,0.0110042,0.0106555,0.00824347,0.000547257
490,0.00174499,0.00212245,0.00450709,0.00701618,0.0125991,0.0119074,0.000590856
491,0.00216093,0.00129103,0.00402659,0.00500412,0.0157231,0.016445899,0.000833103
492,0.00221088,0.00118126,0.00416559,0.00371916,0.020738101,0.020295,0.000768953
493,0.001951,0.00131086,0.00469938,0.00308625,0.027594101,0.020811399,0.000797256
494,0.00161534,0.00153371,0.00605601,0.0026111,0.0379568,0.018145399,0.000610665
495,0.00126791,0.00213368,0.00853024,0.00237091,0.054128099,0.0149141,0.000563586
496,0.001172,0.00267651,0.0124788,0.00220978,0.079099499,0.0121585,0.000543888
497,0.00116702,0.00261001,0.0159787,0.0022676,0.109117001,0.010757,0.000592037
498,0.00125902,0.00191932,0.0171191,0.00240186,0.161337003,0.0101602,0.000734941
499,0.00172947,0.00116818,0.0153385,0.00254738,0.234946996,0.0104414,0.000782028
500,0.00259231,0.000872517,0.012349,0.00268539,0.327114999,0.0117974,0.000874947
501,0.00415507,0.000742339,0.0100542,0.00303004,0.431663007,0.0142002,0.000936336
502,0.00735033,0.00063394,0.00896775,0.00335558,0.51323998,0.017962901,0.000813223
503,0.0112254,0.000705226,0.00859856,0.00367908,0.629453003,0.0226149,0.000680218
504,0.013048,0.00094261,0.00930353,0.00416216,0.76868701,0.024782199,0.000661771
505,0.0111868,0.00123415,0.0105755,0.00470403,0.871967971,0.022646699,0.000678148
506,0.00777598,0.00145316,0.0122748,0.00539016,0.912258983,0.017576599,0.000835485
507,0.00546791,0.00136021,0.0138027,0.00620669,0.923869014,0.0121756,0.00109868
508,0.00422747,0.00112582,0.0142439,0.00713022,0.931137025,0.00840736,0.00129207
509,0.00358017,0.000813272,0.0133969,0.00818547,0.939100027,0.00600334,0.00118622
510,0.0035322,0.000543473,0.011679,0.00971711,0.945218027,0.00464451,0.00106965
511,0.00359265,0.000451337,0.00992269,0.0114695,0.950259984,0.00379419,0.000930518
512,0.00413666,0.000476027,0.0086362,0.0139603,0.95449698,0.0031972,0.000783208
513,0.0049853,0.000494143,0.00784391,0.017422,0.957204998,0.00294752,0.000741447
514,0.0066134,0.000522765,0.00741997,0.0221649,0.958293021,0.00272134,0.00069155
515,0.00918985,0.000702235,0.00760753,0.029074199,0.959797978,0.00274356,0.000952074
516,0.0128544,0.000969321,0.00792151,0.038369101,0.960412025,0.00271121,0.00120995
517,0.0178388,0.00117843,0.00870715,0.0529835,0.961996019,0.00282764,0.00157552
518,0.0222164,0.00114112,0.00966114,0.074865401,0.963084996,0.00297978,0.00202904
519,0.023881,0.000994285,0.0104814,0.107951999,0.963913977,0.00314042,0.00232518
520,0.022280799,0.000714607,0.0110627,0.157196999,0.965009987,0.0034316,0.0020853
521,0.0188471,0.000548564,0.0111478,0.226707995,0.964614987,0.00384051,0.00173237
522,0.0159487,0.000501465,0.0108083,0.307826012,0.963477015,0.00430335,0.00145087
523,0.0135495,0.000405562,0.0100808,0.403822988,0.962275982,0.00477149,0.00125714
524,0.0121946,0.000491517,0.00935698,0.502126992,0.961808026,0.00521633,0.00121084
525,0.0118367,0.000606456,0.00871897,0.614660025,0.962779999,0.00588578,0.00124963
526,0.0122788,0.000711472,0.00828656,0.735332012,0.964672983,0.00663332,0.00158156
527,0.0136456,0.00105787,0.0081743,0.838431001,0.966930985,0.00745424,0.00215201
528,0.0160168,0.00131035,0.00828006,0.914906025,0.970616996,0.00858588,0.00311047
529,0.0194942,0.00140705,0.00865221,0.95094198,0.972124994,0.00991618,0.00437082
530,0.024392501,0.00124477,0.00931646,0.963281989,0.97338903,0.0114736,0.00528663
531,0.0290705,0.00092746,0.010265,0.966744006,0.973356009,0.0134653,0.00548074
532,0.030459801,0.000688796,0.0116382,0.971350014,0.971889973,0.016307401,0.00495581
533,0.0272735,0.000630062,0.0131168,0.971412003,0.970642984,0.0200847,0.00411037
534,0.020983201,0.000556492,0.0152811,0.974563003,0.969587028,0.0255704,0.00340504
535,0.0149396,0.000487125,0.0175342,0.974722981,0.968349993,0.032645401,0.00313474
536,0.0107604,0.000548638,0.0197533,0.972427011,0.968922973,0.0433111,0.00324145
537,0.00799893,0.000683544,0.0213813,0.969704986,0.968798995,0.059455801,0.00385628
538,0.00619662,0.000838626,0.022555601,0.970713019,0.969563007,0.083363898,0.00538654
539,0.00497929,0.00122036,0.0224551,0.970583022,0.970480025,0.118267,0.0084979
540,0.00432559,0.00158168,0.021495501,0.970812976,0.970960975,0.168697,0.0142406
541,0.00392084,0.00177776,0.0198045,0.972338021,0.971463025,0.235177994,0.020076601
542,0.00356518,0.00165138,0.017747,0.972835004,0.972193003,0.312530994,0.0210697
543,0.0034144,0.00146565,0.015714999,0.974749029,0.971637011,0.405889988,0.0158839
544,0.00345048,0.00125759,0.0139957,0.978307009,0.972012997,0.506878018,0.00963552
545,0.00345539,0.0010088,0.0124556,0.980545998,0.972232997,0.62105298,0.00578662
546,0.00361479,0.000826655,0.011216,0.979502976,0.972925007,0.742223024,0.00417758
547,0.00375805,0.000784951,0.0102177,0.978619993,0.973604023,0.852693021,0.00346388
548,0.00402019,0.000868504,0.00971333,0.975546002,0.97418803,0.924641013,0.00331698
549,0.00432649,0.00103767,0.00927207,0.97508198,0.975507021,0.955061972,0.00372236
550,0.00476412,0.00128756,0.00912205,0.974489987,0.977307022,0.964039028,0.00482208
551,0.00522657,0.00173955,0.00907531,0.974651992,0.977921009,0.966922998,0.00743624
552,0.00574751,0.00257887,0.00914499,0.974156022,0.977575004,0.969330013,0.0131541
553,0.00633221,0.00369786,0.00932828,0.973719001,0.977075994,0.971078992,0.0229785
554,0.00700724,0.00458533,0.00925851,0.973577023,0.97686398,0.972371995,0.032393102
555,0.0077744,0.00474966,0.00913027,0.972432971,0.975907981,0.97339797,0.0295237
556,0.00878671,0.00414184,0.00885069,0.97341001,0.975233018,0.974030972,0.0177348
557,0.0098157,0.00325031,0.00833334,0.973972023,0.975001991,0.974659026,0.00935645
558,0.0111495,0.00268173,0.00778723,0.975413024,0.975220025,0.97477901,0.00580608
559,0.0129852,0.00232498,0.00699358,0.975758016,0.974858999,0.97400099,0.00424166
560,0.0154053,0.00229823,0.00641918,0.975495994,0.975741029,0.972743988,0.00366941
561,0.018557001,0.00244029,0.00584945,0.975148022,0.97664398,0.973819971,0.00378163
562,0.0226654,0.00291985,0.00534711,0.974929988,0.978097022,0.974940002,0.00452172
563,0.028480999,0.003768,0.00514746,0.977002025,0.97842598,0.975798011,0.0059343
564,0.0368632,0.00547675,0.00506431,0.977059007,0.979291975,0.975854993,0.010061
565,0.048722401,0.00873019,0.0050733,0.977831006,0.980067015,0.974958003,0.019892
566,0.065712303,0.0136454,0.0052243,0.977029979,0.978691995,0.973643005,0.033451099
567,0.088799298,0.0180039,0.00558375,0.976220012,0.978444993,0.973452985,0.0369782
568,0.123737,0.0186469,0.00605955,0.976319015,0.978748024,0.972862005,0.0256551
569,0.172494993,0.0153479,0.00682305,0.976585984,0.977984011,0.972972989,0.0123269
570,0.234758005,0.0109218,0.00794507,0.975905001,0.976445973,0.973550975,0.00573581
571,0.311235994,0.00783211,0.00914956,0.974573016,0.976054013,0.974942982,0.00331667
572,0.397698998,0.00602868,0.0104074,0.974157989,0.975444973,0.976225019,0.0022766
573,0.491822988,0.00518158,0.0114452,0.974511981,0.975405991,0.977564991,0.00178129
